,Time,TPU_cores
750,1651086658,32
751,1651086688,32
752,1651086718,32
753,1651086748,40
754,1651086778,40
755,1651086808,32
756,1651086838,32
757,1651086868,32
758,1651086898,32
759,1651086928,40
760,1651086958,40
761,1651086988,40
762,1651087018,40
763,1651087048,40
764,1651087078,40
765,1651087108,40
766,1651087138,32
767,1651087168,32
768,1651087198,32
769,1651087228,40
770,1651087258,40
771,1651087288,40
772,1651087318,40
773,1651087348,40
774,1651087378,40
775,1651087408,40
776,1651087438,32
777,1651087468,32
778,1651087498,32
779,1651087528,40
780,1651087558,40
781,1651087588,40
782,1651087618,40
783,1651087648,40
784,1651087678,40
785,1651087708,40
786,1651087738,40
787,1651087768,40
788,1651087798,32
789,1651087828,32
790,1651087858,32
791,1651087888,32
792,1651087918,40
793,1651087948,40
794,1651087978,40
795,1651088008,40
796,1651088038,40
797,1651088068,40
798,1651088098,40
799,1651088128,40
800,1651088158,40
801,1651088188,40
802,1651088218,40
803,1651088248,40
804,1651088278,40
805,1651088308,32
806,1651088338,32
807,1651088368,32
808,1651088398,32
809,1651088428,32
810,1651088458,32
811,1651088488,32
812,1651088518,32
813,1651088548,32
814,1651088578,32
815,1651088608,32
816,1651088638,32
817,1651088668,32
818,1651088698,32
819,1651088728,32
820,1651088758,32
821,1651088788,32
822,1651088818,32
823,1651088848,32
824,1651088878,32
825,1651088908,32
826,1651088938,32
827,1651088968,32
828,1651088998,32
829,1651089028,32
830,1651089058,32
831,1651089088,32
832,1651089118,32
833,1651089148,32
834,1651089178,32
835,1651089208,32
836,1651089238,32
837,1651089268,32
838,1651089298,32
839,1651089328,32
840,1651089358,32
841,1651089388,32
842,1651089418,32
843,1651089448,32
844,1651089478,32
845,1651089508,32
846,1651089538,32
847,1651089568,32
848,1651089598,32
849,1651089628,32
850,1651089658,24
851,1651089688,24
852,1651089718,24
853,1651089748,24
854,1651089778,24
855,1651089808,24
856,1651089838,24
857,1651089868,24
858,1651089898,24
859,1651089928,24
860,1651089958,24
861,1651089988,24
862,1651090018,24
863,1651090048,24
864,1651090078,24
865,1651090108,24
866,1651090138,24
867,1651090168,24
868,1651090198,24
869,1651090228,24
870,1651090258,24
871,1651090288,24
872,1651090318,24
873,1651090348,24
874,1651090378,24
875,1651090408,24
876,1651090438,24
877,1651090468,24
878,1651090498,24
879,1651090528,24
880,1651090558,24
881,1651090588,24
882,1651090618,24
883,1651090648,24
884,1651090678,24
885,1651090708,24
886,1651090738,24
887,1651090768,24
888,1651090798,24
889,1651090828,24
890,1651090858,24
891,1651090888,24
892,1651090918,24
893,1651090948,24
894,1651090978,24
895,1651091008,24
896,1651091038,24
897,1651091068,24
898,1651091098,24
899,1651091128,24
900,1651091158,24
901,1651091188,24
902,1651091218,24
903,1651091248,24
904,1651091278,24
905,1651091308,24
906,1651091338,24
907,1651091368,24
908,1651091398,24
909,1651091428,24
910,1651091458,24
911,1651091488,24
912,1651091518,24
913,1651091548,24
914,1651091578,24
915,1651091608,24
916,1651091638,24
917,1651091668,24
918,1651091698,24
919,1651091728,24
920,1651091758,24
921,1651091788,24
922,1651091818,24
923,1651091848,24
924,1651091878,24
925,1651091908,24
926,1651091938,24
927,1651091968,24
928,1651091998,24
929,1651092028,24
930,1651092058,24
931,1651092088,24
932,1651092118,24
933,1651092148,24
934,1651092178,24
935,1651092208,24
936,1651092238,24
937,1651092268,24
